지역번호,지점명,일자,시간,기온(C),풍속(m/s),습도(%)
6,대전,2020-08-01,16,27.1,3.3,90
7,울산,2020-08-01,16,32.2,2.8,56
8,강릉,2020-08-01,16,29.6,0.9,71
9,제주,2020-08-01,16,29.7,4.4,70
1,서울,2020-08-01,17,26.3,2.1,90
2,부산,2020-08-01,17,27.7,4.9,74
3,대구,2020-08-01,17,30.4,2.4,62
4,인천,2020-08-01,17,25.3,3.1,92
5,광주,2020-08-01,17,23.3,1.3,99
6,대전,2020-08-01,17,25.4,1.1,97
7,울산,2020-08-01,17,30.5,3.6,67
8,강릉,2020-08-01,17,28.9,1.3,79
9,제주,2020-08-01,17,30,4.1,68
1,서울,2020-08-01,18,26.4,2.2,84
2,부산,2020-08-01,18,27.4,4.5,75
3,대구,2020-08-01,18,28,1.3,67
4,인천,2020-08-01,18,25.5,4.4,83
5,광주,2020-08-01,18,24.5,0.1,98
6,대전,2020-08-01,18,25,2.3,97
7,울산,2020-08-01,18,29.3,4,69
8,강릉,2020-08-01,18,27.7,1.6,86
9,제주,2020-08-01,18,29.2,3.7,75
1,서울,2020-08-01,19,26.5,1,85
2,부산,2020-08-01,19,26.8,3.4,79
3,대구,2020-08-01,19,28,0.8,69
4,인천,2020-08-01,19,25.1,4.5,87
5,광주,2020-08-01,19,24.9,0.4,97
6,대전,2020-08-01,19,25.1,1.7,96
7,울산,2020-08-01,19,28.2,3.6,65
8,강릉,2020-08-01,19,26.4,1.2,88
9,제주,2020-08-01,19,27.9,0.5,81
1,서울,2020-08-01,20,26.1,4.6,82
2,부산,2020-08-01,20,26,3.7,85
3,대구,2020-08-01,20,26.8,0.8,79
4,인천,2020-08-01,20,24.1,3.4,88
5,광주,2020-08-01,20,24.1,0.2,98
6,대전,2020-08-01,20,24.7,1.9,96
7,울산,2020-08-01,20,27.6,4.2,72
8,강릉,2020-08-01,20,25.9,0.5,89
9,제주,2020-08-01,20,28.2,1,78
1,서울,2020-08-01,21,25.5,3.4,86
2,부산,2020-08-01,21,26.2,3.2,86
3,대구,2020-08-01,21,27.1,1,75
4,인천,2020-08-01,21,24,2,90
5,광주,2020-08-01,21,25,0.8,97
6,대전,2020-08-01,21,24.4,0.4,97
7,울산,2020-08-01,21,27.2,2.1,77
8,강릉,2020-08-01,21,25.3,1.2,91
9,제주,2020-08-01,21,27.8,2.1,79
1,서울,2020-08-01,22,25.3,2.3,87
2,부산,2020-08-01,22,26.3,3.1,85
3,대구,2020-08-01,22,26.5,0.2,80
4,인천,2020-08-01,22,23.6,2.3,96
5,광주,2020-08-01,22,25.3,1.5,98
6,대전,2020-08-01,22,23.8,0.9,97
7,울산,2020-08-01,22,26.5,1.7,82
8,강릉,2020-08-01,22,24.9,1.7,90
9,제주,2020-08-01,22,28.1,1,77
1,서울,2020-08-01,23,24.8,1.2,92
2,부산,2020-08-01,23,26.2,3.6,86
3,대구,2020-08-01,23,26,0.9,86
4,인천,2020-08-01,23,23.4,2.5,96
5,광주,2020-08-01,23,26.3,2.8,96
6,대전,2020-08-01,23,23.7,0.7,97
7,울산,2020-08-01,23,26.6,1.4,83
8,강릉,2020-08-01,23,24.5,2.1,92
9,제주,2020-08-01,23,28.2,1.7,77
1,서울,2020-08-02,0,24.6,2.1,95
2,부산,2020-08-02,0,25.9,3.2,88
3,대구,2020-08-02,0,25.6,0.6,86
4,인천,2020-08-02,0,23.3,3.2,97
5,광주,2020-08-02,0,25.8,1.6,97
6,대전,2020-08-02,0,23.8,1,97
7,울산,2020-08-02,0,26.5,1.9,84
8,강릉,2020-08-02,0,24.4,1.8,90
9,제주,2020-08-02,0,27.7,1,79
1,서울,2020-08-02,1,24.4,2.5,97
2,부산,2020-08-02,1,25.6,3.4,89
3,대구,2020-08-02,1,25.6,0.8,85
4,인천,2020-08-02,1,23.2,2.6,97
5,광주,2020-08-02,1,25.9,2.2,97
6,대전,2020-08-02,1,25,3,97
7,울산,2020-08-02,1,26.8,3,84
8,강릉,2020-08-02,1,24.2,0.1,91
9,제주,2020-08-02,1,28.1,0.6,77
1,서울,2020-08-02,2,24.2,1.6,97
2,부산,2020-08-02,2,26.1,4.2,82
3,대구,2020-08-02,2,25.2,0.2,88
4,인천,2020-08-02,2,23.2,2.2,97
5,광주,2020-08-02,2,26,1.7,96
6,대전,2020-08-02,2,25.6,2,97
7,울산,2020-08-02,2,26.6,1.9,86
8,강릉,2020-08-02,2,24.6,1.3,88
9,제주,2020-08-02,2,27.9,0.8,78
1,서울,2020-08-02,3,24.1,1.7,97
2,부산,2020-08-02,3,25.9,2.2,83
3,대구,2020-08-02,3,25.4,0.6,87
4,인천,2020-08-02,3,23.3,1.9,97
5,광주,2020-08-02,3,25.9,1.9,96
6,대전,2020-08-02,3,25.6,3.1,97
7,울산,2020-08-02,3,26.1,0.6,89
8,강릉,2020-08-02,3,24,2,93
9,제주,2020-08-02,3,27.5,0.5,79
1,서울,2020-08-02,4,24.1,0.8,97
2,부산,2020-08-02,4,25.5,2.4,85
3,대구,2020-08-02,4,25.1,0,88
4,인천,2020-08-02,4,23.4,1.6,97
5,광주,2020-08-02,4,25.7,1,97
6,대전,2020-08-02,4,25.5,1.6,97
7,울산,2020-08-02,4,26.9,1.3,82
8,강릉,2020-08-02,4,24,0.5,94
9,제주,2020-08-02,4,27.3,0.6,79
1,서울,2020-08-02,5,24.1,0.3,98
2,부산,2020-08-02,5,24.3,1.3,93
3,대구,2020-08-02,5,24.8,0.1,89
4,인천,2020-08-02,5,23.4,1.9,97
5,광주,2020-08-02,5,25.9,1.8,96
6,대전,2020-08-02,5,25.6,1.7,97
7,울산,2020-08-02,5,26.7,1.3,83
8,강릉,2020-08-02,5,23.7,0.7,94
9,제주,2020-08-02,5,27.2,1.1,78
1,서울,2020-08-02,6,24.2,0.1,98
2,부산,2020-08-02,6,24.3,1.1,91
3,대구,2020-08-02,6,25,0,89
4,인천,2020-08-02,6,23.2,2.4,97
5,광주,2020-08-02,6,25.9,2,96
6,대전,2020-08-02,6,25.2,1,97
7,울산,2020-08-02,6,26.5,2.7,84
8,강릉,2020-08-02,6,23.7,1,93
9,제주,2020-08-02,6,27,1.4,78
1,서울,2020-08-02,7,24.4,0.6,98
2,부산,2020-08-02,7,25.6,2.8,87
3,대구,2020-08-02,7,25.3,0,88
4,인천,2020-08-02,7,23.2,2.4,97
5,광주,2020-08-02,7,26.4,1.9,96
6,대전,2020-08-02,7,25.4,2.4,97
7,울산,2020-08-02,7,27,1,83
8,강릉,2020-08-02,7,24.3,0.9,95
9,제주,2020-08-02,7,27.7,1.2,76
1,서울,2020-08-02,8,24.6,0,98
2,부산,2020-08-02,8,26.5,2.6,84
3,대구,2020-08-02,8,26.5,0.2,81
4,인천,2020-08-02,8,23.4,2.3,97
5,광주,2020-08-02,8,26.8,3.1,95
6,대전,2020-08-02,8,25.9,2.8,97
7,울산,2020-08-02,8,27.6,1.3,81
8,강릉,2020-08-02,8,26.5,0.4,85
9,제주,2020-08-02,8,29.5,1.4,71
1,서울,2020-08-02,9,24.9,1.1,98
2,부산,2020-08-02,9,27.6,5.1,80
3,대구,2020-08-02,9,29.1,1.3,67
4,인천,2020-08-02,9,23.5,1.5,97
5,광주,2020-08-02,9,27.1,3.3,95
6,대전,2020-08-02,9,26.7,2.6,93
7,울산,2020-08-02,9,28.2,2.5,79
8,강릉,2020-08-02,9,29.3,2.4,72
9,제주,2020-08-02,9,29.9,1.3,69
1,서울,2020-08-02,10,25.2,0.8,98
2,부산,2020-08-02,10,28.5,3.7,80
3,대구,2020-08-02,10,30.1,0.7,61
4,인천,2020-08-02,10,23.8,2.1,97
5,광주,2020-08-02,10,28.1,3.6,88
6,대전,2020-08-02,10,28.3,2.7,86
7,울산,2020-08-02,10,29.1,4,72
8,강릉,2020-08-02,10,31.1,2.5,64
9,제주,2020-08-02,10,30.2,2.3,69
1,서울,2020-08-02,11,25.4,0.4,98
2,부산,2020-08-02,11,28.8,6.2,75
3,대구,2020-08-02,11,31.3,1.7,55
4,인천,2020-08-02,11,24.7,4.1,97
5,광주,2020-08-02,11,26,3.3,97
6,대전,2020-08-02,11,29.4,3.2,78
7,울산,2020-08-02,11,29.6,3.3,71
8,강릉,2020-08-02,11,32.1,2.6,57
9,제주,2020-08-02,11,29.7,3.7,73
1,서울,2020-08-02,12,25.6,1,97
2,부산,2020-08-02,12,29.5,4.8,72
3,대구,2020-08-02,12,31.9,2,56
4,인천,2020-08-02,12,24.9,3.8,97
5,광주,2020-08-02,12,28.3,4.3,93
6,대전,2020-08-02,12,30.2,3.1,77
7,울산,2020-08-02,12,30.5,3.5,66
8,강릉,2020-08-02,12,32.9,2.6,56
9,제주,2020-08-02,12,30.6,4.1,71
1,서울,2020-08-02,13,25.9,3.9,97
2,부산,2020-08-02,13,28.6,5.3,76
3,대구,2020-08-02,13,32.5,2.9,55
4,인천,2020-08-02,13,24.9,4.3,97
5,광주,2020-08-02,13,29.2,5.5,82
6,대전,2020-08-02,13,30.4,3.6,74
7,울산,2020-08-02,13,30.9,3.9,67
8,강릉,2020-08-02,13,32.8,2.7,56
9,제주,2020-08-02,13,31.3,5.3,64
1,서울,2020-08-02,14,25.8,3.7,97
2,부산,2020-08-02,14,29.2,5.7,73
3,대구,2020-08-02,14,32.1,2,57
4,인천,2020-08-02,14,24.9,5.1,97
5,광주,2020-08-02,14,30.1,3.5,80
6,대전,2020-08-02,14,30.2,2.7,72
7,울산,2020-08-02,14,31.3,3.4,65
8,강릉,2020-08-02,14,29.7,2.8,72
9,제주,2020-08-02,14,31.1,4.3,70
1,서울,2020-08-02,15,26.3,5,95
2,부산,2020-08-02,15,28.2,6.6,80
3,대구,2020-08-02,15,32.3,3.8,53
4,인천,2020-08-02,15,24.7,5.7,97
5,광주,2020-08-02,15,29.9,4.3,76
6,대전,2020-08-02,15,29.8,2.7,75
7,울산,2020-08-02,15,31.3,3.3,65
8,강릉,2020-08-02,15,29.1,1.4,74
9,제주,2020-08-02,15,32.6,2.6,54
1,서울,2020-08-02,16,24.2,3.5,93
2,부산,2020-08-02,16,27.6,6.1,83
3,대구,2020-08-02,16,31.7,1.7,56
4,인천,2020-08-02,16,22.8,5.7,97
5,광주,2020-08-02,16,29.4,5,82
6,대전,2020-08-02,16,29.3,1.9,79
7,울산,2020-08-02,16,30.4,4.2,68
8,강릉,2020-08-02,16,29,0.9,76
9,제주,2020-08-02,16,33.5,5.3,54
1,서울,2020-08-02,17,23.7,2.9,96
2,부산,2020-08-02,17,27.4,5,82
3,대구,2020-08-02,17,31.3,3.4,58
4,인천,2020-08-02,17,22.7,4.7,97
5,광주,2020-08-02,17,28.6,5.8,85
6,대전,2020-08-02,17,29,1.5,80
7,울산,2020-08-02,17,29.9,3.7,71
8,강릉,2020-08-02,17,28.4,2,78
9,제주,2020-08-02,17,33,4.2,53
1,서울,2020-08-02,18,23.7,2.3,96
2,부산,2020-08-02,18,27,4.9,84
3,대구,2020-08-02,18,30.1,1.1,64
4,인천,2020-08-02,18,23,3.1,96
5,광주,2020-08-02,18,28.3,4.2,89
6,대전,2020-08-02,18,28.9,1.3,81
7,울산,2020-08-02,18,29.2,3.2,73
8,강릉,2020-08-02,18,27.9,1.6,79
9,제주,2020-08-02,18,30.8,2.2,64
1,서울,2020-08-02,19,23.6,1.9,95
2,부산,2020-08-02,19,26.3,4.9,86
3,대구,2020-08-02,19,29.5,1.7,65
4,인천,2020-08-02,19,23.6,5,96
5,광주,2020-08-02,19,27.7,4.1,91
6,대전,2020-08-02,19,28.5,1.8,81
7,울산,2020-08-02,19,28.5,3.6,76
8,강릉,2020-08-02,19,26.9,1.5,82
9,제주,2020-08-02,19,29.2,3.4,75
1,서울,2020-08-02,20,23.7,1.5,97
2,부산,2020-08-02,20,26.3,6.1,87
3,대구,2020-08-02,20,28.6,1.3,69
4,인천,2020-08-02,20,23.8,5.4,97
5,광주,2020-08-02,20,27.2,3.3,94
6,대전,2020-08-02,20,27.9,2.1,84
7,울산,2020-08-02,20,28.1,4.1,78
8,강릉,2020-08-02,20,28.6,4.2,62
9,제주,2020-08-02,20,29.3,2.2,75
1,서울,2020-08-02,21,24.6,3.8,98
2,부산,2020-08-02,21,26.2,4.8,89
3,대구,2020-08-02,21,28,1.2,71
4,인천,2020-08-02,21,24.5,6.8,96
5,광주,2020-08-02,21,27.2,2.4,90
6,대전,2020-08-02,21,27.6,2.9,86
7,울산,2020-08-02,21,27.5,2.3,82
8,강릉,2020-08-02,21,28,1,65
9,제주,2020-08-02,21,28.1,0.8,82
1,서울,2020-08-02,22,25.3,4.4,95
2,부산,2020-08-02,22,26.2,6,90
3,대구,2020-08-02,22,28.1,1.4,70
4,인천,2020-08-02,22,24.9,7.1,93
5,광주,2020-08-02,22,27,3.4,92
6,대전,2020-08-02,22,27.4,2.5,86
7,울산,2020-08-02,22,27,2.5,84
8,강릉,2020-08-02,22,27.1,0.6,71
9,제주,2020-08-02,22,28.4,1.7,80
1,서울,2020-08-02,23,25.9,6.5,92
2,부산,2020-08-02,23,26.1,7,91
3,대구,2020-08-02,23,27.5,1.3,71
4,인천,2020-08-02,23,25,6.5,91
5,광주,2020-08-02,23,26.7,3.2,94
6,대전,2020-08-02,23,27.4,2.9,81
7,울산,2020-08-02,23,27.1,3.8,84
8,강릉,2020-08-02,23,26.7,0.7,74
9,제주,2020-08-02,23,27.5,0.2,85
1,서울,2020-08-03,0,26.1,5.3,91
2,부산,2020-08-03,0,26,7,90
3,대구,2020-08-03,0,27.2,1,70
4,인천,2020-08-03,0,24.8,7,91
5,광주,2020-08-03,0,26.5,3.6,94
6,대전,2020-08-03,0,27.3,2.3,82
7,울산,2020-08-03,0,27,4.3,85
8,강릉,2020-08-03,0,26.6,1.1,76
9,제주,2020-08-03,0,27.5,1.3,85
1,서울,2020-08-03,1,26.1,5.9,90
2,부산,2020-08-03,1,26,6.7,88
3,대구,2020-08-03,1,26.9,1.1,74
4,인천,2020-08-03,1,25,7,91
5,광주,2020-08-03,1,26.3,2.4,94
6,대전,2020-08-03,1,27.2,2.5,83
7,울산,2020-08-03,1,26.8,1.9,85
8,강릉,2020-08-03,1,26.6,1,77
9,제주,2020-08-03,1,26.8,0.2,90
1,서울,2020-08-03,2,25.9,4.6,92
2,부산,2020-08-03,2,25.9,6,86
3,대구,2020-08-03,2,26.6,0.2,74
4,인천,2020-08-03,2,24.9,5.9,93
5,광주,2020-08-03,2,26.3,2.5,94
6,대전,2020-08-03,2,26.8,1.4,84
7,울산,2020-08-03,2,26.6,2.2,88
8,강릉,2020-08-03,2,26.9,1.4,76
9,제주,2020-08-03,2,28.2,0.8,73
1,서울,2020-08-03,3,25.3,4.2,97
2,부산,2020-08-03,3,25.3,4.9,89
3,대구,2020-08-03,3,26.6,0.7,73
4,인천,2020-08-03,3,24.5,6.7,97
5,광주,2020-08-03,3,25.9,2.4,95
6,대전,2020-08-03,3,26.6,1.4,85
7,울산,2020-08-03,3,26.7,2.4,86
8,강릉,2020-08-03,3,27.9,2.5,70
9,제주,2020-08-03,3,27.5,2.1,75
1,서울,2020-08-03,4,25.1,4.2,97
2,부산,2020-08-03,4,25.5,4.4,88
3,대구,2020-08-03,4,26.2,0.4,79
4,인천,2020-08-03,4,24.1,5.6,96
5,광주,2020-08-03,4,25.9,2,95
6,대전,2020-08-03,4,26.6,1.8,85
7,울산,2020-08-03,4,26.4,1.8,85
8,강릉,2020-08-03,4,27.9,0.7,69
9,제주,2020-08-03,4,27,0.5,78
1,서울,2020-08-03,5,25,3.5,97
2,부산,2020-08-03,5,25.8,3.7,84
3,대구,2020-08-03,5,26.7,1.7,75
4,인천,2020-08-03,5,24,5.3,97
5,광주,2020-08-03,5,26,1.5,95
6,대전,2020-08-03,5,26.6,2.5,85
7,울산,2020-08-03,5,26.8,2.2,83
8,강릉,2020-08-03,5,28.2,1.2,66
9,제주,2020-08-03,5,27.3,1.2,73
1,서울,2020-08-03,6,24.8,4.1,99
2,부산,2020-08-03,6,25.9,3.9,83
3,대구,2020-08-03,6,25.8,0.7,82
4,인천,2020-08-03,6,23.7,5.7,97
5,광주,2020-08-03,6,26,2.1,95
6,대전,2020-08-03,6,26.9,2.6,83
7,울산,2020-08-03,6,26.6,0.7,84
8,강릉,2020-08-03,6,28.8,1.6,63
9,제주,2020-08-03,6,27.2,0.9,73
1,서울,2020-08-03,7,24.8,3.7,98
2,부산,2020-08-03,7,26.1,3.7,82
3,대구,2020-08-03,7,27.2,1.1,75
4,인천,2020-08-03,7,23.9,4.2,97
5,광주,2020-08-03,7,26.2,1.9,95
6,대전,2020-08-03,7,27.1,3.3,82
7,울산,2020-08-03,7,27,0.6,82
8,강릉,2020-08-03,7,27.9,1,70
9,제주,2020-08-03,7,28,0.5,72
1,서울,2020-08-03,8,25,3.7,98
2,부산,2020-08-03,8,27.4,3.3,79
3,대구,2020-08-03,8,27.1,1.2,76
4,인천,2020-08-03,8,24.1,6.4,96
5,광주,2020-08-03,8,26.8,1.7,94
6,대전,2020-08-03,8,27.1,3,83
7,울산,2020-08-03,8,27.6,1.5,82
8,강릉,2020-08-03,8,26.7,0.4,80
9,제주,2020-08-03,8,28.7,1,69
1,서울,2020-08-03,9,24.9,4.2,98
2,부산,2020-08-03,9,27,4.3,84
3,대구,2020-08-03,9,29,1.9,69
4,인천,2020-08-03,9,24.2,4.6,97
5,광주,2020-08-03,9,27.5,2.7,94
6,대전,2020-08-03,9,27.7,1.6,82
7,울산,2020-08-03,9,28.1,2.8,76
8,강릉,2020-08-03,9,25.9,1,90
9,제주,2020-08-03,9,29.5,1.4,68
1,서울,2020-08-03,10,25.1,3.3,99
2,부산,2020-08-03,10,28.3,4.4,79
3,대구,2020-08-03,10,30.5,0.9,56
4,인천,2020-08-03,10,24.2,4.3,97
5,광주,2020-08-03,10,28.7,3.1,90
6,대전,2020-08-03,10,29,2.7,77
7,울산,2020-08-03,10,28.9,4.3,70
8,강릉,2020-08-03,10,26.8,2,81
9,제주,2020-08-03,10,30.1,1.7,68
1,서울,2020-08-03,11,25,3.2,98
2,부산,2020-08-03,11,28.1,5.7,81
3,대구,2020-08-03,11,31.2,1.8,55
4,인천,2020-08-03,11,23.9,3.9,97
5,광주,2020-08-03,11,29.1,4.1,87
6,대전,2020-08-03,11,30.1,3.7,71
7,울산,2020-08-03,11,30.2,5,66
8,강릉,2020-08-03,11,28.6,4.1,69
9,제주,2020-08-03,11,30,2.8,69
1,서울,2020-08-03,12,25,3.3,97
2,부산,2020-08-03,12,29.3,6,77
3,대구,2020-08-03,12,31.7,2.9,53
4,인천,2020-08-03,12,23.8,3.2,96
5,광주,2020-08-03,12,30.1,6.2,80
6,대전,2020-08-03,12,30.1,3.9,71
7,울산,2020-08-03,12,30.6,4.8,66
8,강릉,2020-08-03,12,26,5.5,73
9,제주,2020-08-03,12,30.4,3.4,66
1,서울,2020-08-03,13,25.1,2.2,97
2,부산,2020-08-03,13,29.2,7.1,75
3,대구,2020-08-03,13,32,4,49
4,인천,2020-08-03,13,23.8,3.4,96
5,광주,2020-08-03,13,29.9,5.3,85
6,대전,2020-08-03,13,30,2.8,70
7,울산,2020-08-03,13,30.8,4.9,64
8,강릉,2020-08-03,13,25.2,3.9,76
9,제주,2020-08-03,13,30.9,3.5,67
1,서울,2020-08-03,14,25.3,2.5,96
2,부산,2020-08-03,14,28.5,7.2,76
3,대구,2020-08-03,14,31.9,3.4,51
4,인천,2020-08-03,14,24.3,2.4,94
5,광주,2020-08-03,14,29.8,3.9,83
6,대전,2020-08-03,14,29.1,2.2,80
7,울산,2020-08-03,14,30.9,3.9,64
8,강릉,2020-08-03,14,25,6,76
9,제주,2020-08-03,14,31.6,4.9,64
1,서울,2020-08-03,15,25.6,2.3,93
2,부산,2020-08-03,15,28.3,7,76
3,대구,2020-08-03,15,32.1,1.7,54
4,인천,2020-08-03,15,24.6,3.4,93
5,광주,2020-08-03,15,29.6,4.5,82
6,대전,2020-08-03,15,28.6,2.4,81
7,울산,2020-08-03,15,30.3,3.1,70
8,강릉,2020-08-03,15,25.3,5.6,71
9,제주,2020-08-03,15,30.7,4.4,70
1,서울,2020-08-03,16,25.4,2.6,92
2,부산,2020-08-03,16,27.9,6.9,77
3,대구,2020-08-03,16,31.4,1.9,57
4,인천,2020-08-03,16,24.6,4.1,93
5,광주,2020-08-03,16,29,4.4,85
6,대전,2020-08-03,16,25.7,2.5,89
7,울산,2020-08-03,16,29.8,3.8,70
8,강릉,2020-08-03,16,25.9,4.5,74
9,제주,2020-08-03,16,30,4.8,74
1,서울,2020-08-03,17,25.6,2.1,92
2,부산,2020-08-03,17,27.9,6.2,78
3,대구,2020-08-03,17,31.3,2.5,58
4,인천,2020-08-03,17,24.5,5.2,94
